id,company_id,driver_id,status,lane,loaded_miles,deadhead_miles,linehaul_cents,fuel_surcharge_cents,accessorials_cents,detention_cents,factored
THD-1001,11111111-1111-1111-1111-111111111111,,booked,Kent WA -> Sacramento CA,740,59,285000,32000,0,0,false
THD-1003,11111111-1111-1111-1111-111111111111,D-MILE,dispatched,Kent WA -> Boise ID,610,49,240000,26000,0,0,false
THD-1005,11111111-1111-1111-1111-111111111111,,in_transit,Kent WA -> Los Angeles CA,920,74,345000,38000,0,0,false
THD-1007,11111111-1111-1111-1111-111111111111,,cancelled,Seattle WA -> Boise ID,430,34,185000,19000,0,0,false
THD-1009,11111111-1111-1111-1111-111111111111,,pod_received,Seattle WA -> Boise ID,690,55,295000,31000,10000,0,false
THD-1010,11111111-1111-1111-1111-111111111111,D-MILE,pod_received,Portland OR -> Reno NV,520,42,210000,20000,0,0,false
THD-1011,11111111-1111-1111-1111-111111111111,D-MILE,pod_received,Kent WA -> Boise ID,480,38,195000,18000,0,0,false
THD-1012,11111111-1111-1111-1111-111111111111,D-OO,pod_received,Seattle WA -> Sacramento CA,800,64,250000,30000,15000,15000,true
THD-1013,11111111-1111-1111-1111-111111111111,,invoiced,Portland OR -> Reno NV,560,45,230000,25000,0,0,false
THD-1015,11111111-1111-1111-1111-111111111111,D-OO,invoiced,Kent WA -> Sacramento CA,780,62,310000,34000,0,0,true
THD-1016,11111111-1111-1111-1111-111111111111,,paid,Seattle WA -> Los Angeles CA,880,70,320000,36000,0,0,false
L-3001,11111111-1111-1111-1111-111111111111,D-OO,delivered,Kent WA -> Sacramento CA,760,40,295000,31000,10000,10000,false
L-3002,11111111-1111-1111-1111-111111111111,D-OO,delivered,Sacramento CA -> Reno NV,130,15,142000,14500,0,0,false
L-3003,11111111-1111-1111-1111-111111111111,D-OO,paid,Reno NV -> Kent WA,805,18,378000,40200,15000,0,false
L-4001,11111111-1111-1111-1111-111111111111,D-FLAT,delivered,Kent WA -> Tacoma WA,40,5,60000,0,5000,5000,false
L-4002,11111111-1111-1111-1111-111111111111,D-FLAT,delivered,Tacoma WA -> Everett WA,55,8,65000,0,0,0,false
L-4003,11111111-1111-1111-1111-111111111111,D-FLAT,delivered,Everett WA -> Kent WA,48,6,62000,0,0,0,false
CAS-5001,22222222-2222-2222-2222-222222222222,D-CASCADE,in_transit,Spokane WA -> Portland OR,420,34,168000,14000,0,0,false
CAS-5002,22222222-2222-2222-2222-222222222222,,pod_received,Kent WA -> Boise ID,420,34,152000,12000,0,0,false
